Cluster,Gene,Log2_FC,Adj_P_Value,Score
ETV6.RUNX1.1,HLA-DRB5,3.663942575454712,0.0,68.73994445800781
ETV6.RUNX1.1,HLA-DPB1,2.7695343494415283,0.0,68.72940063476562
ETV6.RUNX1.1,RPS15A,1.1537431478500366,0.0,64.39110565185547
ETV6.RUNX1.1,HLA-DQA2,5.077908992767334,0.0,62.537662506103516
ETV6.RUNX1.1,RPS24,1.317515254020691,0.0,61.990318298339844
ETV6.RUNX1.1,HLA-DRA,2.4214885234832764,0.0,61.09085464477539
ETV6.RUNX1.1,MT-ND2,1.467856764793396,0.0,58.86688232421875
ETV6.RUNX1.1,MT-CO1,1.1836459636688232,0.0,55.52174758911133
ETV6.RUNX1.1,HLA-DQA1,2.4998292922973633,0.0,54.144439697265625
ETV6.RUNX1.1,MT-ND1,1.4658877849578857,0.0,51.27347183227539
ETV6.RUNX1.2,HLA-DRA,2.6660494804382324,0.0,93.51500701904297
ETV6.RUNX1.2,CD24,3.030618906021118,0.0,90.58924102783203
ETV6.RUNX1.2,CD52,2.243563413619995,0.0,89.83672332763672
ETV6.RUNX1.2,TERF2,3.16552734375,0.0,87.48274230957031
ETV6.RUNX1.2,CD74,2.468076229095459,0.0,86.03081512451172
ETV6.RUNX1.2,HLA-DRB1,2.327570676803589,0.0,82.58695220947266
ETV6.RUNX1.2,DNTT,1.7205251455307007,0.0,79.39445495605469
ETV6.RUNX1.2,SH3BGRL3,1.669243574142456,0.0,79.35914611816406
ETV6.RUNX1.2,LAPTM5,1.8107424974441528,0.0,76.43516540527344
ETV6.RUNX1.2,SOCS2,2.4791736602783203,0.0,76.29817962646484
ETV6.RUNX1.3,HLA-B,2.174154758453369,0.0,53.30568313598633
ETV6.RUNX1.3,LAPTM5,2.1099085807800293,0.0,48.85608673095703
ETV6.RUNX1.3,CD74,2.402998447418213,0.0,47.927947998046875
ETV6.RUNX1.3,HLA-DRB5,3.201202869415283,0.0,46.02077865600586
ETV6.RUNX1.3,RCSD1,2.225935459136963,0.0,45.741764068603516
ETV6.RUNX1.3,B2M,1.0239537954330444,0.0,43.525936126708984
ETV6.RUNX1.3,SOCS2,2.4100871086120605,0.0,42.75007629394531
ETV6.RUNX1.3,YBX3,2.1112523078918457,0.0,42.594398498535156
ETV6.RUNX1.3,TCL1B,3.11149001121521,0.0,40.04393005371094
ETV6.RUNX1.3,HSPB1,2.3453316688537598,0.0,39.211456298828125
ETV6.RUNX1.4,TCL1B,5.864429473876953,0.0,86.46121978759766
ETV6.RUNX1.4,H3F3B,1.5251597166061401,0.0,72.8818588256836
ETV6.RUNX1.4,DNTT,1.9301871061325073,0.0,69.61488342285156
ETV6.RUNX1.4,H1F0,3.363247871398926,0.0,68.85958099365234
ETV6.RUNX1.4,HBA2,3.404134511947632,0.0,62.80055236816406
ETV6.RUNX1.4,HBA1,3.0996930599212646,0.0,61.3209114074707
ETV6.RUNX1.4,HBG2,2.948331356048584,0.0,60.45378112792969
ETV6.RUNX1.4,TERF2,2.6469533443450928,0.0,59.57474899291992
ETV6.RUNX1.4,CD24,2.525883913040161,0.0,58.70948028564453
ETV6.RUNX1.4,HBB,2.9923882484436035,0.0,58.360408782958984
